,MAILWGT,POPDOC,YEAR,SPECCAT,MULTI1,ACEPTNEW,NPRIVATE,NMEDCARE,NMEDCAID,NWORKCMP,NSELFPAY,NNOCHRGE,IPAPHO,MCAREINS,OWNS1,NPCMH,NACO,NP4P,NMU,MIPS,APM,NOMIPSAPM,EMEDREC,EHRSAT,HHSMU,ESDOH,EBEHAV,ECPOE,ESCRIP,EWARN,ECTOE,ERADI,EREMIND,ECREATERES,EMSG,EGENLIST,ECCREPO,ECREATEPLAN,ESENDCQM,TEMP,TEMPCUSTOM,TEMPNOTES,FREENOTES,TELEMED,EPTREC,EDLREC,ESENDREC,SLFMOND,CSFREQ,CSELECT,PDMPFREQ,PDMPCHECK,PDMPUSE,PDMPSTATE,PDMP1,PDMP2,PDMP3,PDMP4,PDMP5,PDMP6,PDMP7,PDMP8,PDMP9,METHSRPAP,METHSEHRWEB,SEAMBOUT,SEHOSPU,SEBHP,SELTCP,METHREHRWEB,REAMBOUT,REHOSPU,REBHP,RELTCP,PHAPHI,PHA1,PHA2,PHA3,PHA4,HPCNOT,HREF,HEDNOT,HTOCSUM,NSEARCH,NPCNOT,NVAX,NCSUM,INTPHI,INTCSUM,COMPMED,COMPALL,COMPPROB,CINPOC,EUSEPHIOUT,REASON1,REASON2,REASON3,REASON4,REASON5,REASON6,HIEQOC,HIEEFF,HIEPRVRXER,HIECARE,HIEDUPTEST,LACKCAP,ITSTAFF,HIECOSTOUT,MULPORTOUT,EVENDOROTH,INFOHIE,ELOCATADD,LOSEPAT,TIMEOUT,STAFFSUP,EASEDOC,TIMEDOC,TIMEPAT,TIMEBILL,DOCALIGN,WCOMPEMR,COMPTYPE,WAVECOMP,MDDO,PHYSEX,PAGE50,DISPEMR,EHRNAME,MULTIR1,LOCSIZCAT,PSIZECAT_P,NUMLOC_P,MIDLEVP1_P,PCTMCAID_P,SETTING_P,PHYID_P,STRAT_P
0,2034.19541,27165.134896630432,2018.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-8.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,-8.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,-7.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,7.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,1183.0,1.0
1,3215.85359,27165.134896630432,2018.0,3.0,1.0,1.0,1.0,1.0,-9.0,-9.0,1.0,-9.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,-9.0,1.0,1.0,1.0,-8.0,-8.0,1.0,1.0,1.0,-8.0,1.0,-8.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,-8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,-7.0,2.0,2.0,2.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,2.0,2.0,2.0,2.0,-8.0,2.0,-9.0,1.0,1.0,-8.0,-8.0,-8.0,4.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,3.0,2.0,2.0,1.0,-9.0,1.0,648.0,1.0
2,3215.85359,27165.134896630432,2018.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-8.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-8.0,2.0,1.0,2.0,1.0,-8.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,7.0,2.0,5.0,5.0,2.0,4.0,2.0,1.0,871.0,1.0
3,2034.19541,27165.134896630432,2018.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-8.0,1.0,1.0,-8.0,-8.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,-8.0,-8.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,-8.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,-8.0,-7.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,-8.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,1.0,1.0,279.0,1.0
4,3888.39179,27165.134896630432,2018.0,3.0,1.0,1.0,1.0,1.0,-8.0,1.0,2.0,2.0,2.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,-8.0,-8.0,-8.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,2.0,1.0,-8.0,-7.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,11.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,826.0,1.0
5,1460.08673,16319.13501665901,2018.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-8.0,2.0,-8.0,1.0,1.0,2.0,1.0,-8.0,-8.0,2.0,2.0,1.0,-8.0,-8.0,2.0,-8.0,-7.0,-7.0,-7.0,2.0,2.0,2.0,-8.0,2.0,4.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,-8.0,-7.0,-7.0,-7.0,-7.0,-8.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,1.0,1.0,0.0,4.0,-9.0,4.0,-9.0,2.0,-7.0,-7.0,-7.0,2.0,-7.0,-8.0,-8.0,-8.0,-8.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,4.0,4.0,1.0,4.0,4.0,-8.0,1.0,1.0,1.0,1.0,2.0,-8.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,-7.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,13.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,59.0,2.0
6,1460.08673,16319.13501665901,2018.0,1.0,1.0,2.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,-8.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,7.0,1.0,3.0,3.0,1.0,3.0,0.0,1.0,1404.0,2.0
7,1460.08673,16319.13501665901,2018.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-8.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,-8.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-8.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,-7.0,-7.0,-7.0,-7.0,4.0,-9.0,4.0,4.0,2.0,-7.0,-7.0,-7.0,2.0,-7.0,1.0,1.0,1.0,6.0,-8.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,3.0,3.0,1.0,3.0,4.0,-8.0,1.0,1.0,1.0,1.0,-8.0,1.0,-9.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,672.0,2.0
8,1460.08673,16319.13501665901,2018.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,-8.0,-8.0,4.0,-7.0,-7.0,-7.0,2.0,1.0,-8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,-8.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,-8.0,-8.0,-8.0,-8.0,-8.0,-7.0,-7.0,-7.0,-7.0,-8.0,-7.0,-7.0,-7.0,-7.0,4.0,4.0,4.0,4.0,2.0,-7.0,-7.0,-7.0,1.0,-8.0,1.0,1.0,1.0,-8.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,-8.0,1.0,2.0,-8.0,-7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,1296.0,2.0
9,1460.08673,16319.13501665901,2018.0,1.0,1.0,1.0,1.0,1.0,1.0,-9.0,1.0,-9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-8.0,1.0,1.0,-8.0,-8.0,-8.0,-8.0,1.0,2.0,1.0,2.0,1.0,1.0,-8.0,-8.0,-8.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,-8.0,-7.0,-7.0,-7.0,-7.0,-8.0,-7.0,-7.0,-7.0,-7.0,-8.0,-7.0,-7.0,-7.0,-7.0,4.0,4.0,3.0,4.0,2.0,-7.0,-7.0,-7.0,-8.0,-7.0,1.0,1.0,1.0,2.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,-8.0,-8.0,-8.0,2.0,-8.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,12.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,745.0,2.0
